,Path,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,tWDQS_on,tWDQS_off,csr_BL,csr_PDDS,csr_RPST,csr_DQSIntervalTimerRunTime,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iSARLogicMode,MinorMode_iProductionTestMode,MinorMode_iFWModeDebug,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iClkGatingMode,csr_RdqsPre,csr_WCKMode,tWCKENL_FS,tWCKPRE_Toggle_WR,csr_RpstMode,csr_RECC,csr_CKR,csr_BkOrg,csr_WCK_FM,tWCKENL_RD,csr_WECC,csr_CkMode,csr_WCK2DQIIntervalTimerRunTimeSetting,tWCKPST,tWCKPRE_Static,csr_RdqsPst,tWCKENL_WR,BumpReMapCA_6,tWCKPRE_Toggle_FS,csr_WCK2DQOIntervalTimerRunTimeSetting,tWCKPRE_Toggle_RD,csr_WckPst
0,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_2267/local_log.log,674,4,8,1,0,5918,1,1,10,8,1,1,1,1,1,0,1,0.0,20.0,2.0,6.0,1.0,108.0,0,0.0,2.0,4,1,0,0,0,16,0,0,267,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_2267/local_log.log,684,4,8,1,0,5832,1,1,10,6,1,1,1,0,1,0,1,0.0,18.0,2.0,6.0,1.0,169.0,0,0.0,0.0,4,1,0,0,0,16,0,0,484,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_166/local_log.log,4264,4,8,1,0,938,1,1,44,18,7,7,7,0,0,1,0,8.0,36.0,2.0,6.0,1.0,154.0,4,4.0,2.0,4,1,0,0,0,16,0,0,536,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_166/local_log.log,4264,4,8,1,0,938,1,1,44,18,7,7,7,0,1,1,0,8.0,36.0,2.0,6.0,1.0,95.0,4,0.0,0.0,4,1,0,0,0,16,0,0,527,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_1229/local_log.log,3034,4,8,1,0,1318,1,1,36,26,5,5,5,1,0,1,1,18.0,42.0,2.0,6.0,1.0,132.0,4,4.0,2.0,4,1,0,0,0,16,0,0,925,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_1229/local_log.log,2970,4,8,1,0,1346,1,1,36,26,5,5,5,1,1,1,1,18.0,42.0,2.0,6.0,1.0,36.0,4,4.0,2.0,4,1,0,0,0,16,0,0,993,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_2030/local_log.log,1510,4,8,1,0,2646,1,1,18,8,2,2,2,0,1,1,1,0.0,21.0,2.0,6.0,1.0,1.0,0,0.0,2.0,4,1,0,0,0,16,0,0,119,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_2030/local_log.log,1282,4,8,1,0,3116,1,1,16,8,2,2,2,0,1,0,1,0.0,21.0,2.0,6.0,1.0,229.0,0,4.0,0.0,4,1,0,0,0,16,0,0,170,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_920/local_log.log,3642,4,8,1,0,1098,1,1,36,30,6,6,6,1,1,0,1,20.0,47.0,2.0,6.0,1.0,136.0,6,4.0,0.0,2,1,0,0,0,16,0,0,183,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,/server/regressdb/tss_lp54_WW26_LP4_CFG_3_FULL_REGR_SGE__20220701_111528__andrei__CONFIG@r8303_VERIF@r8542_PHYTOP@r7108_SOFTIP@r7493_HARDIP@r7303_CSRINIT@r7209_FW@r7080/chain_0/datapath_tests/ch1_X8_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_920/local_log.log,3388,4,8,1,0,1180,1,1,40,16,6,6,6,0,0,1,1,6.0,33.0,2.0,6.0,1.0,167.0,6,6.0,0.0,2,1,0,0,0,16,0,0,640,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
