Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_WCK_ON,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iFWModeDebug,tWDQS_off,csr_BL,csr_RPST,csr_DQSIntervalTimerRunTime,tWDQS_on,csr_PDDS,MinorMode_iProductionTestMode
LABELS,exta,extra,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_517/local_log.log,8,2464,5,16,0,0,3238,2,1,10,8,2,2,2,1,1,1,1,0,3,1,1,2,4,8,8,5,0,0,2,1,1,1,0,0,1,0,0,0,112,128,4,6,2,4,2,0,0,0,16,6,0,572,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_517/local_log.log,8,2768,5,16,0,0,2882,2,1,10,6,2,2,2,0,1,1,0,0,1,1,1,2,4,8,8,5,0,0,2,1,1,1,0,0,1,0,0,0,57,255,0,6,2,4,2,0,0,0,16,0,0,531,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_213/local_log.log,8,4480,5,16,0,0,1784,2,1,16,14,4,4,4,1,1,1,0,0,7,3,1,4,4,10,12,5,0,0,2,1,1,1,0,0,1,0,0,0,70,104,4,4,2,4,2,0,0,0,16,6,0,710,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_213/local_log.log,8,4712,5,16,0,0,1696,2,1,16,14,4,4,4,1,1,1,0,0,7,3,1,4,4,10,12,5,0,0,2,1,1,1,0,0,1,0,0,0,68,50,4,6,0,4,2,0,0,0,16,0,0,359,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_375/local_log.log,8,3504,5,16,0,0,2278,2,1,12,10,3,3,3,1,0,0,0,0,4,2,1,3,4,8,9,5,0,0,2,1,1,1,0,0,1,0,0,0,202,106,0,0,2,2,2,0,0,0,16,6,0,244,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_375/local_log.log,8,3296,5,16,0,0,2422,2,1,14,10,3,3,3,1,1,1,1,0,4,4,1,3,4,8,11,5,0,0,2,1,1,1,0,0,1,0,0,0,248,128,0,6,2,2,2,0,0,0,16,0,0,651,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_14/local_log.log,8,5920,5,16,0,0,1350,2,1,20,16,5,5,5,1,0,1,0,0,9,7,2,4,4,10,15,5,0,0,2,1,1,1,0,0,1,0,0,0,211,132,4,0,1,2,2,0,0,0,16,6,0,523,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_14/local_log.log,8,5760,5,16,0,0,1388,2,1,18,10,5,5,5,0,0,0,0,0,3,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,96,164,6,6,1,2,2,0,0,0,16,0,0,322,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_247/local_log.log,8,5624,5,16,0,0,1422,4,1,16,15,10,10,10,1,0,0,1,0,10,6,2,4,2,7,11,5,0,0,0,1,1,1,0,1,0,0,0,0,81,28,0,4,1,4,2,0,0,0,16,6,0,887,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
