Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iSARLogicMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iFWModeDebug
LABELS,exta,extra,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_512/local_log.log,8,2872,5,16,0,0,2778,2,1,10,8,2,2,2,1,0,0,1,0,3,1,1,2,4,8,8,5,0,2,1,1,1,0,0,1,0,0,0,148,43,0,6,2,2,2,0,0,0,16,6,0,431,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_512/local_log.log,8,2912,5,16,0,0,2740,2,1,10,6,2,2,2,0,0,0,1,0,1,1,1,2,4,8,8,5,0,2,1,1,1,0,0,1,0,0,0,27,203,4,0,1,2,2,0,0,0,16,0,0,591,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_13/local_log.log,8,6176,5,16,0,0,1294,2,1,20,10,5,5,5,0,0,1,1,0,3,7,2,4,4,10,15,5,0,2,1,1,1,0,0,1,0,0,0,184,129,0,4,2,1,2,0,0,0,16,6,0,848,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_13/local_log.log,8,6000,5,16,0,0,1332,2,1,18,16,5,5,5,1,1,0,0,0,9,5,2,4,4,10,13,5,0,2,1,1,1,0,0,1,0,0,0,121,60,6,6,1,1,2,0,0,0,16,0,0,338,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_210/local_log.log,8,4736,5,16,0,0,1688,2,1,16,14,4,4,4,1,1,0,0,0,7,3,1,4,4,10,12,5,0,2,1,1,1,0,0,1,0,0,0,19,173,0,4,0,1,2,0,0,0,16,6,0,662,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_210/local_log.log,8,4768,5,16,0,0,1676,2,1,16,8,4,4,4,0,1,0,0,0,1,3,1,4,4,10,12,5,0,2,1,1,1,0,0,1,0,0,0,2,63,0,0,1,1,2,0,0,0,16,0,0,374,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_371/local_log.log,8,3240,5,16,0,0,2464,2,1,14,10,3,3,3,1,0,1,1,0,4,4,1,3,4,8,11,5,0,2,1,1,1,0,0,1,0,0,0,110,48,0,4,1,1,2,0,0,0,16,6,0,132,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_371/local_log.log,8,3568,5,16,0,0,2238,2,1,12,8,3,3,3,0,0,0,1,0,2,2,1,3,4,8,9,5,0,2,1,1,1,0,0,1,0,0,0,212,17,4,6,0,1,2,0,0,0,16,0,0,464,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_62/local_log.log,8,6104,5,16,0,0,1310,4,1,18,9,11,11,11,0,1,1,1,0,4,8,2,4,2,7,13,5,0,0,1,1,1,0,1,0,0,0,0,73,159,4,0,1,2,2,0,0,0,16,6,0,172,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,
